Customer_id;Customer_name;Address_line1
Maju Jaya Aekanopan 1;Maju Jaya Aekanopan 1;Jl. JENDRAL SUDIRMAN NO.12 DEPAN TELKOM KEC. KWALUH HULU KAB. LABUHAN BATU UTARA
Maju Jaya Galang;Maju Jaya Galang 1;
Maju Jaya Inalum 1;Maju Jaya Inalum 1;Jl. ACCES ROAD INALUM DESA PAKAM KEBUN UBI K.TANJUNG
Maju Jaya Linsum 1;Maju Jaya Linsum 1;Jl. LINSUM TERANG BULAN KEC.AEK NATAS KAB. LABUHAN BATU UTARA
Maju Jaya Medan 1;Maju Jaya Medan 1;Jl. GATOT SUBROTO NO.100 MEDAN
Maju Jaya Medan 2;Maju Jaya Medan 2;Jl. SETIA BUDI 127 TJ. SARI PSR I
Maju Jaya Tebing 1;Maju Jaya Tebing 1;Jl. SM.RAJA NO.42/BANDAR SONO
Maju Perbaungan 1;Maju Perbaungan 1;Jl. LAKSANA NO.20 PERBAUNGAN, SERGEI
Makmur Jaya Padangsidempuan 1;Makmur Jaya Padangsidempuan 1;PADANGSIDEMPUAN
Makmur Jaya Serdang Bedagai 1;Makmur Jaya Serdang Bedagai 1;Jl. PANTAI SIALANGBUA KEC. SIALANGBUA KAB. SERGEI
Makmur Jaya Tembung 1;Makmur Jaya Tembung 1;Jl. MAKMUR JAYA PSR.7 TEMBUNG MEDAN
Mandiri Jaya Kanopan 1;Mandiri Jaya Kanopan 1;Jl. LINTAS SUMATERA KEC. LEDONG TIMUR AEK KANOPAN
Mandiri Jaya Marendal 1;Mandiri Jaya Marendal 1;Jl. BAJAK MARENDAL
Mandiri Tembung 1;Mandiri Tembung 1;Jl. SEMPURNA PASAR 7 TEMBUNG
Marelan Jaya Medan 1;Marelan Jaya Medan 1;Jl. MARELAN IX NO. 130 MEDAN
Marendal Jaya Amplas 1;Marendal Jaya Amplas 1;Jl. BAJAK NO. 38 MARENDAL KEC. MEDAN AMLAS
Martimbul Kisaran 1;Martimbul Kisaran 1;KISARAN SIMPANG KEDAI LEDANG
Maryam Talawi 1;Maryam Talawi 1;Jl. SIMPANG 4 INDRAYAMAN KEC. TALAWI
Medan Jaya Binjai 1;Medan Jaya Binjai 1;Jl. MEDANBINJAI KM. 9,2 KAMPUNG LALANG
Mega Block Sunggal 1;Mega Block Sunggal 1;ASAM KUMBANG TERNAK BUAYA SUNGGAL
Mekar Jaya T. Balai 1;Mekar Jaya T. Balai 1;Jl. JENDRAL SUDIRMAN DEPAN KANTOR KPU TANJUNG BALAI
Menara Station Medan 1;Menara Station Medan 1;Jl. TANGGUK BONGKAR 3 / GARUDA NO.10 MANDALA MEDAN
Menteng Jaya Medan 1;Menteng Jaya Medan 1;Jl. MENTENG RAYA NO. 2 MEDAN
Merbau Siantar 1;Merbau Siantar 1;Jl. MERDEKA NO.17 KEC.DOLOK BATU NANGGAR SERBELAWAN
Miduk Prabot Mandoge 1;Miduk Prabot Mandoge 1;DESA HUTA BAGASAN KEC. BP . MANDOGE KAB. ASAHAN
Mino Jaya Tanjung Tiram 1;Mino Jaya Tanjung Tiram 1;DUSUN 9 DESA UJUNG KUBU TANJUNG TIRAM
Mitra Jaya Utama Batubara 1;Mitra Jaya Utama Batubara 1;Jl. JENDRAL SUDIRMAN SIMPANG DOLOK BATUBARA
Mitra Enginering Medan 1;Mitra Enginering Medan 1;Jl. DAMAI II MEDAN AMPLAS
Mitra Jaya Abadi Air Joman 1;Mitra Jaya Abadi Air Joman 1;Jl. PENGHIJAUAN DESA SUBUR, KEC. AIR JOMAN, KAB. : ASAHAN
Mitra Jaya Tembung 1;Mitra Jaya Tembung 1;Jl. DATUK KABU NO.79 PSR III TEMBUNG
Mitra Makmur Pancing 1;Mitra Makmur Pancing 1;Jl. PANCING NO.53 MEDAN
Mitra Mulia Mandiri Medan 1;Mitra Mulia Mandiri Medan 1;KOMPLEK AVROS NO.A1
Mitra Perkasa Simalungun 1;Mitra Perkasa Simalungun 1;SIMALUNGUN CITY RAYA
Monika Jaya Persada Binjai 1;Monika Jaya Persada Binjai 1;Jl. TANAH MERAH PASAR I SIMPANG ALAS BINJAI
Mulia Tembung 1;Mulia Tembung 1;Jl. PASAR 7 BERINGIN NO.120 SIMPANG PASAR 5 TEMBUNG MEDAN
Munawar Medan 1;Munawar Medan 1;Jl. MONGINSIDI GG. BARU NO. 5 B MEDAN
Mutiara Pantai Batubara 1;Mutiara Pantai Batubara 1;Jl. SIMP.4 INDRAYAMAN KEC.TALAWI
Naga Mas Bintang Mas Kisaran 1;Naga Mas Bintang Mas Kisaran 1;Jl. POLEM UJUNG DPN TANGKAHAN PASIR
Nanda Nindi Medan 1;Nanda Nindi Medan 1;Jl. JOHAR DUSUN IV NO. 27 MEDAN
Naspa Talawi 1;Naspa Talawi 1;DUSUN II DESA PAHANG KEC. TALAWI
Nawera Simalungun 1;Nawera Simalungun 1;Jl. PASAR BARU KEC. BOSAR MALIGAS KAB.SIMALUNGUN
NH Pematang Siantar;NH Pematang Siantar;Jl. PARAPAT NO.54 SIMPANG DUA PEMATANG SIANTAR
Nijeff Jaya Simalungun 1;Nijeff Jaya Simalungun 1;Jl. MEDAN KM. 10.5 SINAKSAK KEC. DOLOK BATU NANGGAR KAB. SIMALUNGUN
Nirma Samosir 1;Nirma Samosir 1;Jl. NAHUM SITUMORANG PEKAN IMPRES PANGURURAN NO.140 SAMOSIR
Nizam Batubara 1;Nizam Batubara 1;LABUHAN RUKU KEC. TALWI, KABUPATEN BATUBARA
Obor Siantar 1;Obor Siantar 1;Jl. DIPONEGORO NO. 6 PEMATANG SIANTAR
Pak Hasibuan;Pak Hasibuan;DESA KUALA INDAH
Pala Pintu Siantar 1;Pala Pintu Siantar 1;Jl. BOMBONGAN RAYA , SIMP KARANG SARI PERMAI KEC.SIANTAR MARTOBA KOTAMADYA PEMATANG SIANTAR
Panen Raya Perdagangan 1;Panen Raya Perdagangan 1;Jl. SISINGAMANGARAJA NO 635 PERDAGANGAN
Panhara Medan 1;Panhara Medan 1;Jl. RAKYAT NO. 150 PSR 3 KEC. MEDAN PERJUANGAN
Pantara Jaya Air Joman 1;Pantara Jaya Air Joman 1;Jl. BESAR AIR JOMAN PASAR 7 AIR JOMAN
Paten Sunggal 1;Paten Sunggal 1;Jl. PAM TIRTANADI NO. 51 SUNGGAL
Paudang Setia Simalungun 1;Paudang Setia Simalungun 1;Jl. BESAR TINJAUAN KEC. UJUNG PADANG KAB. SIMALUNGUN
Pelangi Mas Limapuluh 1;Pelangi Mas Limapuluh 1;Jl. GAMBUS LAUT KEC.LIMA PULUH
Pelita Serbelawan 1;Pelita Serbelawan 1;Jl. MERDEKA NO.104 SERBELAWAN
Perdana Jaya Air Batu 1;Perdana Jaya Air Batu 1;Jl. HESA, AIR GENTING KEC.AIR BATU KAB.ASAHAN
Permata Indah Patumbak 1;Permata Indah Patumbak 1;Jl. PERTAHANAN,PATUMBAK
Perumahan Johor Baru Vista 1;Perumahan Johor Baru Vista 1;Jl. KARYA JAYA (MASUK EKA SURYA)
Ponimin Torgamba 1;Ponimin Torgamba 1;SIMP. KANAN KP . JEMBATAN 88 KEC.TORGAMBA LABUHAN BATU SELATAN
Prima Andalas Binjai 1;Prima Andalas Binjai 1;Jl. GATOT SUBROTO NO.273 BINJAI BARAT
Prima Jaya Lestarindo Abadi Medan 1;Prima Jaya Lestarindo Abadi Medan 1;PASAR III , NO. 110 KRAKATAU MEDAN
